trip_id,trip_start_time,trip_stop_time,trip_duration_seconds,from_station_id,from_station_name,to_station_id,to_station_name,user_type,origin_lat,origin_lon,destination_lat,destination_lon
712382,2017/1/1 0:00,2017/1/1 0:03,223,7051,Wellesley St E / Yonge St Green P,7089,Church St  / Wood St,Member,43.66506,-79.38357,43.662712,-79.379903
712383,2017/1/1 0:00,2017/1/1 0:05,279,7143,Kendal Ave / Bernard Ave,7154,Bathurst Subway Station,Member,43.671513,-79.408317,43.6666667,-79.41166667
712384,2017/1/1 0:05,2017/1/1 0:29,1394,7113,Parliament St / Aberdeen Ave,7199,College St W / Markham St,Member,43.665278,-79.368333,43.65638889,-79.40916667
712385,2017/1/1 0:07,2017/1/1 0:21,826,7077,College Park South,7010,King St W / Spadina Ave,Member,43.659777,-79.382767,43.645323,-79.395003
712386,2017/1/1 0:08,2017/1/1 0:12,279,7079,McGill St / Church St,7047,University Ave / Gerrard St W,Member,43.660694,-79.379052,43.657763,-79.389165
712387,2017/1/1 0:12,2017/1/1 0:22,571,7021,Bay St / Albert St,7046,Niagara St / Richmond St W,Member,43.653264,-79.382458,43.64534,-79.409597
712388,2017/1/1 0:15,2017/1/1 0:33,1084,7161,Beverly St / College St W,7176,Bathurst St / Fort York Blvd,Member,43.6575,-79.39527778,43.639179,-79.399595
712389,2017/1/1 0:15,2017/1/1 0:21,307,7195,Ulster St / Bathurst St,7037,Bathurst St / Dundas St W,Member,43.66,-79.40888889,43.6523,-79.4058
712390,2017/1/1 0:20,2017/1/1 0:31,647,7017,Widmer St / Adelaide St ,7101,Lower Sherbourne St / The Esplanade,Member,43.6475076,-79.3914841,43.648655,-79.367061
712391,2017/1/1 0:23,2017/1/1 0:27,217,7017,Widmer St / Adelaide St ,7005,University Ave / King St W,Member,43.6475076,-79.3914841,43.6480008,-79.383177
712392,2017/1/1 0:28,2017/1/1 0:36,467,7009,King St E / Jarvis St,7016,Bay St / Queens Quay W (Ferry Terminal),Member,43.650325,-79.372287,43.640823,-79.376265
712393,2017/1/1 0:28,2017/1/1 0:43,880,7032,Augusta Ave / Dundas St W,7070,25 York St (ACC/Union Station South),Member,43.652473,-79.401456,43.643667,-79.380414
712394,2017/1/1 0:31,2017/1/1 0:35,228,7177,East Liberty St / Pirandello St,7158,King St W / Stafford St,Member,43.63861111,-79.41472222,43.6422222,-79.41111111
712395,2017/1/1 0:33,2017/1/1 0:39,361,7045,Bond St / Queen St E,7060,Princess St / Adelaide St,Member,43.653236,-79.376716,43.652123,-79.367139
712396,2017/1/1 0:38,2017/1/1 0:42,227,7158,King St W / Stafford St,7177,East Liberty St / Pirandello St,Member,43.6422222,-79.41111111,43.63861111,-79.41472222
712397,2017/1/1 0:53,2017/1/1 0:59,354,7022,Simcoe St / Queen St W,7033,Union Station,Member,43.650858,-79.387582,43.645609,-79.380386
712398,2017/1/1 0:55,2017/1/1 1:05,591,7077,College Park South,7101,Lower Sherbourne St / The Esplanade,Member,43.659777,-79.382767,43.648655,-79.367061
712399,2017/1/1 0:59,2017/1/1 1:02,169,7028,Gould St / Mutual St,7164,Victoria St / Gould St (Ryerson University),Member,43.6582,-79.3768,43.657424,-79.381019
712400,2017/1/1 0:59,2017/1/1 1:07,451,7038,Dundas St / Yonge St,7065,Dundas St E / Parliament St,Member,43.656094,-79.381484,43.659575,-79.365769
712401,2017/1/1 1:02,2017/1/1 1:17,920,7130,Davenport Rd / Bedford Rd,7038,Dundas St / Yonge St,Member,43.6743985,-79.3986601,43.656094,-79.381484
712402,2017/1/1 1:07,2017/1/1 1:11,256,7042,Sherbourne St / Wellesley St,7031,Jarvis St / Isabella St,Member,43.6673,-79.374,43.668991,-79.379385
712403,2017/1/1 1:12,2017/1/1 1:19,398,7160,King St W / Tecumseth St,7054,Navy Wharf Ct. / Bremner Blvd.,Member,43.64333333,-79.40555556,43.640722,-79.391051
712404,2017/1/1 1:14,2017/1/1 1:30,982,7004,University Ave / Elm St,7164,Victoria St / Gould St (Ryerson University),Member,43.656518,-79.389099,43.657424,-79.381019
712405,2017/1/1 1:29,2017/1/1 1:33,261,7163,Yonge St / Wood St,7041,Edward St / Yonge St,Member,43.6622222,-79.3825,43.656729,-79.382736
712406,2017/1/1 1:31,2017/1/1 1:34,182,7164,Victoria St / Gould St (Ryerson University),7045,Bond St / Queen St E,Member,43.657424,-79.381019,43.653236,-79.376716
